date,open,high,low,close
2024-12-11,1.05272,1.05396,1.04802,1.04964
2024-12-12,1.04961,1.05312,1.04636,1.0469
2024-12-13,1.0468,1.05244,1.0453,1.05027
2024-12-16,1.04895,1.05248,1.04746,1.05114
2024-12-17,1.05122,1.05345,1.0479,1.0491
2024-12-18,1.04908,1.05129,1.0344,1.03531
2024-12-19,1.03526,1.04225,1.03473,1.03628
2024-12-20,1.03627,1.04478,1.03429,1.04296
2024-12-23,1.04317,1.04466,1.03842,1.04047
2024-12-24,1.04045,1.04103,1.03835,1.03998
2024-12-25,1.0401,1.0401,1.0401,1.0401
2024-12-26,1.04042,1.04303,1.03905,1.04217
2024-12-27,1.04215,1.04442,1.0405,1.04262
2024-12-30,1.04317,1.04587,1.03715,1.04068
2024-12-31,1.04077,1.04248,1.0344,1.03537
2025-01-01,1.03535,1.03535,1.03535,1.03535
2025-01-02,1.03519,1.03755,1.02241,1.02659
2025-01-03,1.02655,1.03102,1.02609,1.03089
2025-01-06,1.03057,1.0437,1.02954,1.03904
2025-01-07,1.03905,1.04347,1.03395,1.03403
2025-01-08,1.03404,1.0358,1.0273,1.03186
2025-01-09,1.03185,1.03218,1.02835,1.02994
2025-01-10,1.03002,1.03122,1.02131,1.02469
2025-01-13,1.02415,1.02502,1.01778,1.02447
2025-01-14,1.02449,1.03087,1.02385,1.03079
2025-01-15,1.0308,1.03548,1.02587,1.0288
2025-01-16,1.02881,1.03153,1.02609,1.03001
2025-01-17,1.03028,1.03307,1.02651,1.02716
2025-01-20,1.02804,1.04345,1.02663,1.0416
2025-01-21,1.04161,1.04355,1.03417,1.04265
2025-01-22,1.04263,1.04575,1.03924,1.04087
2025-01-23,1.04065,1.04381,1.03721,1.04155
2025-01-24,1.04151,1.05217,1.04116,1.05054
2025-01-27,1.04802,1.05335,1.04537,1.04919
2025-01-28,1.04919,1.0494,1.04136,1.04305
2025-01-29,1.04306,1.04441,1.03823,1.04212
2025-01-30,1.04206,1.04678,1.03861,1.03899
2025-01-31,1.03903,1.04339,1.035,1.0367
2025-02-03,1.02482,1.03501,1.02109,1.03443
2025-02-04,1.03439,1.03878,1.02721,1.03788
2025-02-05,1.03791,1.04429,1.03695,1.04026
2025-02-06,1.04025,1.04059,1.03525,1.03831
2025-02-07,1.03836,1.0413,1.03053,1.0328
2025-02-10,1.02874,1.03368,1.02858,1.03071
2025-02-11,1.0307,1.03817,1.0292,1.03615
2025-02-12,1.03611,1.04301,1.03169,1.03827
2025-02-13,1.03826,1.04672,1.03729,1.04641
2025-02-14,1.04642,1.05144,1.04472,1.04919
2025-02-17,1.04869,1.05066,1.04669,1.04844
2025-02-18,1.04843,1.04866,1.04351,1.04462
2025-02-19,1.04462,1.04617,1.04008,1.04226
2025-02-20,1.04229,1.05038,1.04185,1.05012
2025-02-21,1.05012,1.05059,1.04493,1.04567
2025-02-24,1.04688,1.05288,1.04526,1.04678
2025-02-25,1.04678,1.05195,1.04563,1.05134
2025-02-26,1.05131,1.05289,1.04748,1.04844
2025-02-27,1.04846,1.04928,1.03967,1.03983
2025-02-28,1.03982,1.04202,1.03598,1.03774
2025-03-03,1.04048,1.0504,1.03885,1.04876
2025-03-04,1.04878,1.06277,1.04712,1.06264
2025-03-05,1.06254,1.07971,1.0602,1.07889
2025-03-06,1.07891,1.08539,1.07654,1.07837
2025-03-07,1.07835,1.08888,1.07769,1.08326
2025-03-10,1.08474,1.08749,1.08049,1.08343
2025-03-11,1.08344,1.09475,1.08321,1.09192
2025-03-12,1.09193,1.0932,1.08756,1.08881
2025-03-13,1.08879,1.08974,1.08225,1.08526
2025-03-14,1.08513,1.09127,1.08304,1.08788
2025-03-17,1.08788,1.09297,1.08683,1.09225
2025-03-18,1.09211,1.09549,1.08925,1.09448
2025-03-19,1.09455,1.09473,1.08605,1.09023
2025-03-20,1.0903,1.09178,1.08147,1.08523
2025-03-21,1.08537,1.08615,1.07971,1.08161
2025-03-24,1.0815,1.08584,1.07815,1.08009
2025-03-25,1.0801,1.08305,1.07769,1.07917
2025-03-26,1.07917,1.0803,1.07439,1.07539
2025-03-27,1.07535,1.08212,1.07331,1.08014
2025-03-28,1.08012,1.08451,1.07647,1.08284
2025-03-31,1.08275,1.08496,1.07839,1.08167
2025-04-01,1.08186,1.08303,1.07783,1.07937
2025-04-02,1.0794,1.09245,1.07801,1.08527
2025-04-03,1.08527,1.11438,1.08048,1.10522
2025-04-04,1.10519,1.11079,1.09246,1.09563
2025-04-07,1.0888,1.10502,1.08803,1.09124
2025-04-08,1.09165,1.09922,1.08887,1.09592
2025-04-09,1.09591,1.10953,1.09147,1.09492
2025-04-10,1.09496,1.12418,1.09427,1.12011
2025-04-11,1.12007,1.14739,1.11917,1.13591
2025-04-14,1.13178,1.14247,1.12959,1.13506
2025-04-15,1.13506,1.13791,1.12641,1.12812
2025-04-16,1.12822,1.1413,1.12809,1.13989
2025-04-17,1.1399,1.14097,1.13354,1.13647
2025-04-18,1.13672,1.1397,1.136,1.13936
